abseil-cpp 20260817.0-2
accountsservice 26.27.3-1
acl 2.4.0-1
adw-gtk-theme 6.5-1
adwaita-cursors 50.0-1
adwaita-fonts 51.0-2
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.6.8-1
alsa-lib 1.2.16.1-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.16.1-1
aom 3.15.0-1
appstream 1.2.0-1
aquamarine 0.15.1-1
archlinux-keyring 20260909-1
at-spi2-core 2.60.7-1
attr 2.6.0-1
audit 4.2.1-1
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc5-1
awww 0.12.1-1
base 3-3
base-devel 1-2
bash 5.3.20-1
binutils 2.47-4
bison 3.8.2-8
bluez-libs 5.87-2
boost-libs 1.92.0-1
brightnessctl 0.5.1-3
brotli 1.2.0-1
bubblewrap 0.12.0-1
bzip2 1.0.8-6
ca-certificates 20240618-1
ca-certificates-mozilla 3.129-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm-1.16 1.18.1-1
cava 1.0.0-1
cfitsio 1:4.7.0-1
clang 22.1.8-1
cmake 4.4.3-2
compiler-rt 22.1.8-1
composefs 1.0.8-1
coreutils 9.11-2
cpio 2.15-3
cppdap 1.58.0-3
cppman 0.6.3-1
cryptsetup 2.8.8-1
curl 8.22.0-1
dav1d 1.5.4-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-units 37-3
dconf 0.49.0-1
debugedit 5.3-2
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.42-1
diffutils 3.12-2
double-conversion 3.4.0-1
duktape 2.7.0-7
dunst 1.13.2-2
e2fsprogs 1.47.4-1
efibootmgr 18-4
efivar 39-2
elfutils 0.196-1
eww 0.6.0-1
eww-debug 0.6.0-1
exo 4.20.0-2
expat 2.8.4-1
fakeroot 1:1.37.2-3
fastfetch 2.68.1-1
fd 10.5.0-3
ffmpeg 2:9.0.1-4
fftw 3.3.11-1
file 5.48-1
filesystem 2025.10.12-1
findutils 4.11.0-1
firefox 156.0-1
flac 1.5.0-1
flatpak 1:1.18.2-1
flex 2.6.4-6
fontconfig 2:2.18.3-2
freetype2 2.14.3-1
fribidi 1.0.16-2
fuse-common 3.18.3-1
fuse3 3.18.3-1
gawk 5.4.1-1
gc 8.2.12-1
gcc 16.2.1+r23+gd564253eb6c8-1
gcc-libs 16.2.1+r23+gd564253eb6c8-1
gcr-4 4.4.1-1
gdb 17.2-1
gdb-common 17.2-1
